Game ID,Home Team,Away Team,Date,Time
c0f29aa9-be54-4d27-91eb-88ecb7eaffe1,Indiana Pacers,San Antonio Spurs,2023-11-06,20:00
e59434d0-a480-41d4-a713-5de472f61820,Detroit Pistons,Golden State Warriors,2023-11-06,20:00
23aec178-83a1-479b-9ff4-3ac340d67802,New York Knicks,LA Clippers,2023-11-06,20:30
4560cd9f-e016-40af-bf7a-c3a943d2c5f9,Miami Heat,Los Angeles Lakers,2023-11-06,20:30
e3a7fc0e-0fbc-46a3-8453-8a191b710254,Brooklyn Nets,Milwaukee Bucks,2023-11-06,20:30
56b003ec-d1e8-4e57-8654-164c75f347f6,Houston Rockets,Sacramento Kings,2023-11-06,21:00
8d8ee984-706c-45cc-800f-4e3cba2d71a1,Minnesota Timberwolves,Boston Celtics,2023-11-06,21:00
d72fb3ef-2bec-4c96-b73e-a06d2336ae7c,Oklahoma City Thunder,Atlanta Hawks,2023-11-06,21:00
e2d2faf3-0ad0-4b74-b2de-2513ceb065a9,Chicago Bulls,Utah Jazz,2023-11-06,21:00
e964725b-96ca-46bf-a133-94ec25949d37,Denver Nuggets,New Orleans Pelicans,2023-11-06,22:00
6729e688-5f1d-4663-81ce-1681242f395e,Charlotte Hornets,Washington Wizards,2023-11-08,20:00
69cdaddc-9eb3-46e7-b7d8-3daa25a2398c,Philadelphia 76ers,Boston Celtics,2023-11-08,20:00
fafbf0a2-6e06-4f93-ac23-d883ba28af15,Indiana Pacers,Utah Jazz,2023-11-08,20:00
92130359-ec53-4724-8eb0-8c79f20237c0,New York Knicks,San Antonio Spurs,2023-11-08,20:30
df4fc09a-9493-4741-9676-e9988c9c627c,Brooklyn Nets,LA Clippers,2023-11-08,20:30
2618c79c-b8c5-4f07-ae6e-81ecbc315890,Minnesota Timberwolves,New Orleans Pelicans,2023-11-08,21:00
4ad4f7b2-d8ce-4ff4-90e3-b314af742d81,Houston Rockets,Los Angeles Lakers,2023-11-08,21:00
64857700-1078-46b7-9b22-0f9577a65af4,Milwaukee Bucks,Detroit Pistons,2023-11-08,21:00
69bb3037-b0c7-4a51-825b-76891344c9db,Oklahoma City Thunder,Cleveland Cavaliers,2023-11-08,21:00
753eaa52-b8c5-47b5-8c04-42a7c832cf49,Memphis Grizzlies,Miami Heat,2023-11-08,21:00
f5efe9ba-84aa-465f-9409-21a3225cbf85,Chicago Bulls,Phoenix Suns,2023-11-08,21:00
1c8dee7a-6a17-4ac2-a647-5d4263b6ab5c,Dallas Mavericks,Toronto Raptors,2023-11-08,21:30
4b21d768-29ba-497f-a958-642518be7583,Denver Nuggets,Golden State Warriors,2023-11-08,23:00
bf74fe1d-d947-413f-a67c-10d58fb5d949,Sacramento Kings,Portland Trail Blazers,2023-11-08,23:00
eaf50cfe-1c85-4d4b-a27b-ce5ac77d2633,Indiana Pacers,Milwaukee Bucks,2023-11-09,20:00
5ca912bf-110f-42de-859d-712cb463329d,Orlando Magic,Atlanta Hawks,2023-11-09,22:30
6a1770c0-6c98-4c28-9012-96c2c10c9eb8,Washington Wizards,Charlotte Hornets,2023-11-10,20:00
eabf92de-9194-4327-be5c-cfe50bf399d8,Detroit Pistons,Philadelphia 76ers,2023-11-10,20:00
50ed66eb-0e00-4e97-a4b7-8af866ec9393,Boston Celtics,Brooklyn Nets,2023-11-10,20:30
264de51d-e3c6-4360-adc6-4125bd550c5f,San Antonio Spurs,Minnesota Timberwolves,2023-11-10,21:00
92f493af-05c3-4a66-95be-32d3fc0bea58,Houston Rockets,New Orleans Pelicans,2023-11-10,21:00
db5bcab0-5c3d-4d91-991f-0cc3b8900fed,Memphis Grizzlies,Utah Jazz,2023-11-10,21:00
7e4d58c9-dd1c-4e10-b4b5-7ec2302a765f,Dallas Mavericks,LA Clippers,2023-11-10,21:30
0dde7b41-da52-4c84-828f-06167b0c3d60,Sacramento Kings,Oklahoma City Thunder,2023-11-10,23:00
bd8f5c76-6f72-45b1-a567-fe84d924bf16,Phoenix Suns,Los Angeles Lakers,2023-11-10,23:00
b320c6c2-0f8a-4447-8c2e-86f1c6577b51,Orlando Magic,Milwaukee Bucks,2023-11-11,19:00
d18b0956-ce98-460a-9a2b-b405b4469647,Boston Celtics,Toronto Raptors,2023-11-11,20:00
d029ef6f-a42a-4b75-a0f6-f405f99c5539,Atlanta Hawks,Miami Heat,2023-11-11,20:30
6be735bf-05b0-4cbb-b1d6-fd7cd54063a0,Golden State Warriors,Cleveland Cavaliers,2023-11-11,21:30
53cd88a3-b9db-4418-8ecb-b51707972316,New York Knicks,Charlotte Hornets,2023-11-12,13:00
305cda50-903f-496e-b71e-da45424bf528,Brooklyn Nets,Washington Wizards,2023-11-12,16:00
07772579-f774-483f-8d66-3f307ca2fea3,LA Clippers,Memphis Grizzlies,2023-11-12,16:30
a7032ea6-e865-4ca9-b1ba-417662076ed9,Philadelphia 76ers,Indiana Pacers,2023-11-12,19:00
07fadf01-d7ab-48c4-82ce-755e65ff9929,Chicago Bulls,Detroit Pistons,2023-11-12,20:00
ceb2c8fb-1d06-4fa0-ab7c-7f1856a4e76d,New Orleans Pelicans,Dallas Mavericks,2023-11-12,20:00
f1250696-4bda-49ab-98da-4a898544f34d,Houston Rockets,Denver Nuggets,2023-11-12,20:00
f7fa3403-f487-4a22-8571-a4ac89805bba,San Antonio Spurs,Miami Heat,2023-11-12,20:00
db44ce30-9753-4b56-8fc0-153c8a7bc8ae,Phoenix Suns,Oklahoma City Thunder,2023-11-12,21:00
11b1d724-d7bf-413c-9f93-2893809fbbf3,Golden State Warriors,Minnesota Timberwolves,2023-11-12,21:30
49858b43-b261-415d-bb33-5b723ad66267,Los Angeles Lakers,Portland Trail Blazers,2023-11-12,23:00
0cc08e8a-e441-457e-ac14-09b4b7411815,Boston Celtics,New York Knicks,2023-11-13,20:30
deb9d7f6-f13e-4f1b-8be6-c53dfca6a139,Toronto Raptors,Washington Wizards,2023-11-13,20:30
0aac247a-6759-4286-9d94-192fdd3b6bbd,Milwaukee Bucks,Chicago Bulls,2023-11-13,21:00
70d64fdd-9c5c-4288-aa4d-fa8bb0b8a455,Sacramento Kings,Cleveland Cavaliers,2023-11-13,23:00
01e3aa9e-ed9b-4862-adae-144a861fe035,Philadelphia 76ers,Indiana Pacers,2023-11-14,20:00
84a5eff6-acee-4c9f-a448-f53881eb423f,Charlotte Hornets,Miami Heat,2023-11-14,20:00
f847e666-dfcd-4d55-8e35-9e315bad1ce3,Detroit Pistons,Atlanta Hawks,2023-11-14,20:00
3e4957d3-9404-4b71-aa9d-0c3c4f5d2897,Oklahoma City Thunder,San Antonio Spurs,2023-11-14,20:30
68191f77-cbb4-472e-a5a7-d2eab8ed169a,Brooklyn Nets,Orlando Magic,2023-11-14,20:30
8bfc0f6d-0c82-4d2e-a608-5b5d87c3b2bd,New Orleans Pelicans,Dallas Mavericks,2023-11-14,21:00
09dee7e5-4564-42dc-9ac7-8a5b6e145ba4,Utah Jazz,Portland Trail Blazers,2023-11-14,22:00
100f0381-85aa-483c-83f6-960e228fa8c1,Denver Nuggets,LA Clippers,2023-11-14,23:00
92fd1dd2-c2a6-4b2f-abd9-f8f0f93a773d,Golden State Warriors,Minnesota Timberwolves,2023-11-14,23:00
3e6b7b1c-2b26-44f3-a9d6-6adfdb053fc0,Los Angeles Lakers,Memphis Grizzlies,2023-11-14,23:30
9e2f11b5-0e36-4898-8e23-3a496da484db,Washington Wizards,Dallas Mavericks,2023-11-15,20:00
34efe565-7eb3-40e9-b245-fbf91a90d91c,Toronto Raptors,Milwaukee Bucks,2023-11-15,20:30
9df8685f-d96d-4fab-bff3-afa9a604f967,Philadelphia 76ers,Boston Celtics,2023-11-15,20:30
ae622136-e003-45da-af90-19638cb71908,Atlanta Hawks,New York Knicks,2023-11-15,20:30
313c935e-688c-4472-89ed-a9846d03f2c2,Chicago Bulls,Orlando Magic,2023-11-15,21:00
a6b009e5-ca4c-4ebd-aba4-1dbb157b8a9f,Phoenix Suns,Minnesota Timberwolves,2023-11-15,22:00
2d1466ef-6207-493f-8a4b-31266e54edb6,Los Angeles Lakers,Sacramento Kings,2023-11-15,23:00
482250a6-096a-44ac-b1ee-c08fe1de1387,Portland Trail Blazers,Cleveland Cavaliers,2023-11-15,23:00
8ded6fca-5c49-4368-afb1-eee90f5d30ea,Miami Heat,Brooklyn Nets,2023-11-16,20:30
09dffee1-42dc-4d39-bb4e-7828c17cdf61,Golden State Warriors,Oklahoma City Thunder,2023-11-16,23:00
4b7af2ed-c72e-4f2f-973e-b544ad8ecc5f,Washington Wizards,New York Knicks,2023-11-17,20:00
9f6b25cb-0389-4247-9627-b9f26e38b395,Charlotte Hornets,Milwaukee Bucks,2023-11-17,20:00
0bdcda3c-f445-436a-b06a-fe12529bb71e,Toronto Raptors,Boston Celtics,2023-11-17,20:30
2b901d56-4c70-4698-ae7f-4befa670c16a,Atlanta Hawks,Philadelphia 76ers,2023-11-17,20:30
85a97c8a-c356-4275-a8c1-f91d77f477cc,San Antonio Spurs,Sacramento Kings,2023-11-17,20:30
925cac7d-6599-4ae9-aeff-9bb575d4079d,Cleveland Cavaliers,Detroit Pistons,2023-11-17,20:30
77ebfdbc-29a6-4369-9ef1-61def640604a,New Orleans Pelicans,Denver Nuggets,2023-11-17,21:00
89dce85b-8d2e-4976-a9a0-189c7d96e472,Chicago Bulls,Orlando Magic,2023-11-17,21:00
28af7274-1262-4898-98eb-6f09a4f96553,Portland Trail Blazers,Los Angeles Lakers,2023-11-17,23:00
d7f26931-7a1e-4a27-b8c0-4fe27745ed34,Utah Jazz,Phoenix Suns,2023-11-17,23:00
cc2ccb4d-6e58-4b3a-b99b-cd8db95d5453,LA Clippers,Houston Rockets,2023-11-17,23:30
a06fe212-ca41-465d-821d-d33110939ebb,Charlotte Hornets,New York Knicks,2023-11-18,19:00
f88a345b-c86e-495d-970c-4b71e75e2cc9,New Orleans Pelicans,Minnesota Timberwolves,2023-11-18,20:00
22dc603b-2fdf-4a46-82de-ba2f454aa84c,Chicago Bulls,Miami Heat,2023-11-18,21:00
b6db08e9-3cf8-4b39-951a-cd79c59f75c4,Milwaukee Bucks,Dallas Mavericks,2023-11-18,21:00
ddbde41a-70e9-44f7-a02c-c550636a3a14,San Antonio Spurs,Memphis Grizzlies,2023-11-18,21:00
304bc340-45b8-4ef8-b05b-e353324c8576,Golden State Warriors,Oklahoma City Thunder,2023-11-18,21:30
faff2623-c981-4ca6-b7bd-d1ab98210243,Brooklyn Nets,Philadelphia 76ers,2023-11-19,16:00
d68e0721-2b06-4606-ab22-2d6762088b44,Toronto Raptors,Detroit Pistons,2023-11-19,17:00
38b6d027-d632-4688-8475-a79812a514dd,Indiana Pacers,Orlando Magic,2023-11-19,18:00
858fc735-240c-4038-9437-618a29c52da5,Cleveland Cavaliers,Denver Nuggets,2023-11-19,19:00
